title,available_globally,release_date,hours_viewed,movie
Brooklyn Nine-Nine: Season 6,No,,38100000,No
Queer Eye: Season 7,Yes,2023-05-12,38100000,No
Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Yes,2023-06-22,38000000,No
The Big Bang Theory: Season 4,No,,38000000,No
The Good Doctor: Season 2,No,,38000000,No
Cúmplices de um Resgate: Season 1,No,,37800000,No
The Big Bang Theory: Season 6,No,,37800000,No
The Flash (2014): Season 3,No,,37700000,No
The Good Doctor: Season 3,No,,37700000,No
Back to the Outback,Yes,2021-12-10,37600000,Yes
Booba: Season 4,Yes,,37600000,No
The Big Bang Theory: Season 7,No,,37600000,No
Vikings (2013): Season 1,No,,37600000,No
As Aventuras de Poliana: Season 1,No,,37500000,No
The Big Bang Theory: Season 5,No,,37400000,No
The Rookie: Season 1,No,,37400000,No
Fauda: Season 1 // פאודה: עונה 1,Yes,2016-12-02,37300000,No
Mr. Sunshine: Season 1 // 미스터 션샤인: 시즌 1,Yes,2018-07-07,37300000,No
2 Guns,No,,37100000,Yes
"Lyle, Lyle, Crocodile",No,,37100000,Yes
Money Heist: Part 2 // La casa de papel: Parte 2,Yes,2017-11-30,37100000,No
Outlander: Season 2,No,2016-04-10,37100000,No
Queens on the Run // Fuga de reinas,No,2023-04-14,37100000,Yes
Shameless (U.S.): Season 4,No,,37100000,No
S.W.A.T. (2017): Season 4,No,,37000000,No
Peaky Blinders: Season 6,No,2022-06-10,36900000,No
Seinfeld: Season 8,Yes,,36900000,No
The Mitchells vs. The Machines,Yes,2021-04-30,36900000,Yes
PJ Masks: Season 4,No,,36700000,No
All For Love: Season 1 // Amar y vivir: Temporada 1,No,2020-06-26,36600000,No
Glamorous: Season 1,Yes,2023-06-22,36600000,No
Meekah: Season 1,Yes,,36600000,No
Peaky Blinders: Season 3,No,2016-05-31,36600000,No
Troll,Yes,2022-12-01,36600000,Yes
Rebelde Way (2002): Temporada 1,No,,36500000,No
The Big Bang Theory: Season 8,No,,36400000,No
Thicker Than Water: Season 1 // Jusqu'ici tout va bien: Saison 1,Yes,2023-04-07,36300000,No
Chris Rock: Selective Outrage,Yes,2023-03-04,36200000,Yes
Daughter From Another Mother: Season 3 // Madre solo hay dos: Temporada 3,Yes,2022-12-25,36200000,No
Grown Ups (2010),No,,36200000,Yes
Let Him Go,No,,36200000,Yes
Outlander: Season 6,No,2022-03-07,36200000,No
Against the Ropes: Season 1 // Contra las cuerdas: Temporada 1,No,2023-01-25,36100000,No
Ozark: Season 1,Yes,2017-07-21,36100000,No
A Quiet Place Part II,No,,36000000,Yes
My Little Pony: Friendship Is Magic: Season 1,Yes,,36000000,No
Power Rangers Dino Fury: Season 1,No,2021-06-14,36000000,No
