Year,Week,Title,Artist
2022,8,"""We Don't Talk About Bruno""",Encato Cast
2022,9,"""We Don't Talk About Bruno""",Encato Cast
2022,10,"""We Don't Talk About Bruno""",Encato Cast
2022,11,"""Heat Waves"" ",Glass Animals
2022,12,"""Heat Waves"" ",Glass Animals
2022,13,"""Heat Waves"" ",Glass Animals
2022,14,"""Heat Waves"" ",Glass Animals
2022,15,"""Heat Waves"" ",Glass Animals
2022,16,"""As It Was""",Harry Styles
2022,17,"""First Class""",Jack Harlow
2022,18,"""As It Was""",Harry Styles
2022,19,"""As It Was""",Harry Styles
2022,20,"""Wait for U""",Future featuring Drake and Tems
2022,21,"""First Class""",Jack Harlow
2022,22,"""First Class""",Jack Harlow
2022,23,"""As It Was""",Harry Styles
2022,24,"""As It Was""",Harry Styles
2022,25,"""As It Was""",Harry Styles
2022,26,"""As It Was""",Harry Styles
2022,27,"""Jimmy Cooks""",Drake featuring 21 Savage
2022,28,"""As It Was""",Harry Styles
2022,29,"""As It Was""",Harry Styles
2022,30,"""As It Was""",Harry Styles
2022,31,"""About Damn Time""",Lizzo
2022,32,"""About Damn Time""",Lizzo
2022,33,"""Break My Soul""",Beyoncé
2022,34,"""Break My Soul""",Beyoncé
2022,35,"""Super Freaky Girl""",Nicki Minaj
2022,36,"""As It Was""",Harry Styles
2022,37,"""As It Was""",Harry Styles
2022,38,"""As It Was""",Harry Styles
2022,39,"""As It Was""",Harry Styles
2022,40,"""As It Was""",Harry Styles
2022,41,"""Bad Habit""",Steve Lacy
2022,42,"""Bad Habit""",Steve Lacy
2022,43,"""Bad Habit""",Steve Lacy
2022,44,"""Unholy""",Sam Smith and Kim Petras
2022,45,"""Anti-Hero""",Taylor Swift
2022,46,"""Anti-Hero""",Taylor Swift
2022,47,"""Anti-Hero""",Taylor Swift
2022,48,"""Anti-Hero""",Taylor Swift
2022,49,"""Anti-Hero""",Taylor Swift
2022,50,"""Anti-Hero""",Taylor Swift
2022,51,"""All I Want for Christmas Is You""",Mariah Carey
2022,52,"""All I Want for Christmas Is You""",Mariah Carey
2022,53,"""All I Want for Christmas Is You""",Mariah Carey
2023,1,"""All I Want for Christmas Is You""",Mariah Carey
2023,2,"""Anti-Hero""",Taylor Swift
2023,3,"""Anti-Hero""",Taylor Swift
2023,4,"""Flowers""",Miley Cyrus
2023,5,"""Flowers""",Miley Cyrus
